AEE domain,Dataset or source layer,Provider,Access date,Format and resolution,Variables used,Spatial processing,Derived indicator,Final analytical role
Environment,WDPA protected areas (Denmark extract) ∪ LBST §3 / areal nature,UNEP-WCMC Protected Planet; Landbrugsstyrelsen (LBST) via geodata.fvm.dk,WDPA DNK extract July 2026; LBST pull 2026-07-29,Polygon vector; CRS EPSG:25832 after harmonisation,Protected-area designation; §3 nature / areal polygons,Union of WDPA and LBST layers; intersect with hexagons; area share × 100,Protected / open-land share (eco_pct),Ecological protection / semi-natural land component of environmental quality
Environment,Multi-source environmental quality and burden composites (derived),"Constructed in this study from GeoDanmark, protected-land, and supporting surfaces",Computed 2026-07-29 (official env. pipeline) / multi-source index run,Hexagon attribute table (500 m); scores scaled 0–100,Weighted combination of green/blue/eco benefits and built-up/road (and supporting) pressures,Hex-level weighted scoring; min–max normalisation; quintile classification for mapping,Environmental quality index (env_quality_score); environmental burden index (env_burden_score),Core Environment-domain indicators; enter AEE feature space and GMM typology
Equity,Statistics Denmark StatBank parish population (SOGN),Statistics Denmark (Danmarks Statistik) — StatBank,SOGN extracts spanning 2022–2026 reference years (validation and mapping totals),Tabular counts linked to parish codes; geometries from DAWA/DAGI parish polygons,Parish population totals (SOGN1 / SOGN10 series as available),Join counts to parish polygons; dasymetric allocation to BBR residential floor-area weights within parish; aggregate to 500 m hex,Dasymetric population surface (population_total; pop_density_km2),Primary demographic control for density estimation and equity morphology
Equity,Statistics Denmark StatBank postcode population and age bands (POSTNR / POSTNR1),Statistics Denmark — StatBank,2022–2026 extracts as available for Odense postcodes,Tabular counts; postcode polygon geometries (DAWA/DAGI),Postcode population; age 0–14 and 65+ bands,Allocate age bands with BBR residential weights; scale to municipal age structure; aggregate to hex,Age structure shares (children_share; elderly_share); age vulnerability,Supports age-vulnerability indicators (descriptive equity layer; not GMM inputs)
Equity,Statistics Denmark StatBank municipal population control (FOLK1A),Statistics Denmark — StatBank,"2026 FOLK1A control total used in demography v2 (≈ 213,431)",Municipal tabular total (no hex geometry),Total municipal population (FOLK1A),Used as pycnophylactic control total after parish×BBR allocation and DST soft-constraint,Scaled dasymetric population (hex sum ≈ municipal FOLK1A),Ensures demographic consistency with official municipal population totals
Equity,BBR buildings — residential floor area (OD Buildings_2020),Danish Building and Dwelling Register (BBR),Building stock reference year 2020; used in demography v2 (2026-07-31),Address-linked building points / footprints with attributes; CRS EPSG:25832,"BYG_BOLIG_ (approved residential floor area, m²); building identifiers","Ancillary weight for dasymetric redistribution of parish/postcode counts to buildings, then to hexagons",Residential floor-area weights; dasymetric population and age surfaces,Key ancillary layer for fine-scale demographic redistribution under the AEE equity domain
Equity,DST Kvadratnet 1 km population density classes (extranet),Statistics Denmark — Kvadratnet extranet,Density-class reference ~2019; used as soft constraint / validation 2026-07-31,"1 km grid polygons; density interval classes (persons/km²), not paid person counts",Density class intervals / class midpoints for validation,Soft-constrain dasymetric estimates into DST density-class intervals; validate class agreement and rank correlation,DST-constrained dasymetric density; validation metrics (class agreement ≈ 69%; Spearman ≈ 0.94),Independent spatial check on dasymetric population; morphology proxy retained in clustering
Equity,Basisdata municipal age–sex structure (KOMM_TOT_21),Municipal Basisdata_o extract / Statistics Denmark municipal totals,Reference year 2021 (age structure),Municipal tabular totals (no hex geometry),Age-group control totals for municipality,Scale postcode×BBR age allocations to municipal age shares × FOLK ratio,Age 0–14 and 65+ hex estimates,Municipal control for age-vulnerability construction (descriptive)
Equity,Demographic vulnerability composites (derived),Constructed in this study from dasymetric density and age/socio fields,Computed with demography v2 indicators (2026-07-31),Hexagon attribute table; scores 0–100; quintile classes,Population density; age vulnerability share; socio-economic vulnerability share (where available),Min–max normalisation; weighted composite; quintile classification,Demographic vulnerability index; age and socio-economic vulnerability classes,Descriptive equity mapping and profiling; demographic vulnerability excluded from GMM inputs by design
Environment (supporting),ESA CLIM4cities summer land-surface temperature (Sentinel-3 SLSTR),ESA / Zenodo CLIM4cities (DOI 10.5281/zenodo.20863040),Scenes June–August 2020–2023; processed to hex 2026-07-29,Raster ≈ 100 m; reprojected to EPSG:25832,Land-surface temperature (°C); summer composite,Zonal mean per hexagon (heat_mean); note: LST ≠ air temperature,Mean summer LST (heat_mean),Supporting heat-exposure surface for environmental quality/burden composites
Environment (supporting),Vejdirektoratet state-road traffic noise (Lden) — Støjkortlægning af statsveje 2022,Danish Road Directorate (Vejdirektoratet),Mapping year 2022; downloaded 2026-07-29,Polygon noise bands + derived 50 m raster; CRS EPSG:25832,Lden noise levels along state roads,Intersect/zonal statistics per hex; state roads only,"Noise exposure share / mean (noise_share, noise_mean)",Supporting acoustic burden indicator in environmental composites
"Environment (supporting, interim)",Open-Meteo / CAMS regional NO₂ air-quality surface,Open-Meteo Air Quality API (Copernicus CAMS-based); interim product,Pulled 2026-07-29,Raster approximately hex-compatible after resampling; CRS EPSG:25832,NO₂ concentration proxy,Zonal mean per hexagon (air_pollution_mean),Interim air-pollution proxy (air_pollution_mean),Interim environmental pressure input; intended for replacement by DCE AirGIS / “Luften på din vej” when available
Spatial frame (geometry aid),DAWA / DAGI parish and postcode geometries,Klimadatastyrelsen — DAGI / DAWA address and administrative geometries,Used with StatBank joins in demography v2 (2026-07-31),Polygon vector (parish SOGN; postcode POSTNR); CRS EPSG:25832,Administrative zone codes and boundaries,Spatial join of StatBank tables to zone polygons; interface for dasymetric allocation,Demographic source zones for dasymetric mapping,Enables zone-to-building-to-hex population transfer under the equity domain
Equity (excluded),Non-Western-origin / migration-origin grid extract (ikkevestlig / related),Municipal / Basisdata_o migration GIS extract (Odense),Source year AAR_2021; retained on disk but not used in v1/v2,1 km grid polygons,Non-Western-origin / related origin counts,None in the published pipeline (layer not joined to hex indicators),— (not derived),"Explicitly excluded from indicators, vulnerability indices, and GeoAI clustering by study design"
